brand,model,min_price
BAIC,BJ40,2835000
BAIC,U5 Plus,1210000
BAIC,X35,1220000
BAIC,X55,1780000
BAIC,X7,1860000
BAIC,X75,1794000
BYD,Qin,1599900
Belgee,X50,1389000
Belgee,X70,1914990
Brilliance,V3,670000
Brilliance,V5,690000
Changan,Alsvin,855000
Changan,CS15,1250000
Changan,CS35 Plus,1160000
Changan,CS35 Plus New,1099900
Changan,CS35 Plus Restyling,1099900
Changan,CS55,1299100
Changan,CS55 Plus,1139900
Changan,CS75 Plus,1709940
Changan,CS75 Plus New,1419900
Changan,CS75 Restyling,1110300
Changan,CS75FL,1481940
Changan,CS85,2722100
Changan,CS85 Coupe,2225940
Changan,CS95,2280000
Changan,CS95 New,2720000
Changan,CS95 Restyling,3099900
Changan,Eado,1541930
Changan,Eado Plus,1403940
Changan,Hunter Plus,2470000
Changan,Lamore,1560000
Changan,Raeton,1039000
Changan,Raeton Plus,1839000
Changan,UNI-K,2183940
Changan,UNI-T,1721940
Changan,UNI-V,1715940
Chery,Arrizo 8,1622000
Chery,Explore 06,1340000
Chery,Explore 06 New,2260000
Chery,Tiggo 2 Pro,799900
Chery,Tiggo 3x,840000
Chery,Tiggo 3x New,1000000
Chery,Tiggo 4,860000
Chery,Tiggo 4 New,1260000
Chery,Tiggo 4 Pro,1190000
Chery,Tiggo 7,980000
Chery,Tiggo 7 Pro,1260000
Chery,Tiggo 7 Pro Max,1469000
Chery,Tiggo 7 Pro Max New,1570000
Chery,Tiggo 8,1099900
Chery,Tiggo 8 New,1530000
Chery,Tiggo 8 Pro,1570000
Chery,Tiggo 8 Pro Max,2148540
Chery,Tiggo 8 Pro Max New,2540900
Chery,Tiggo 8 Pro Max Restyling,2540900
Chery,Tiggo 8 Pro e+,2000000
Chery,Tiggo 9,1950000
Chery,Tiggo 9 New,2905000
Chevrolet,Captiva,1249000
Chevrolet,Cobalt,572340
Chevrolet,Cruze,700000
Chevrolet,Equinox,1560000
Chevrolet,Nexia,528540
Chevrolet,Niva,437900
Chevrolet,Onix,1350000
Chevrolet,Spark,500000
Chevrolet,Tracker,1290000
Chevrolet,Trailblazer,1670000
Chevrolet,Traverse,2940000
DFM,580,989000
DFM,AX7,1028900
DWHover,H3,950000
DWHover,H5,960000
Datsun,MI-DO,289000
Datsun,ON-DO,266000
Dongfeng,580,989000
Dongfeng,580 New,1499000
Dongfeng,AX7,737400
Dongfeng,DF6,1790000
Dongfeng,DFSK IX5,2990000
Dongfeng,DFSK IX7,3990000
Dongfeng,IX7,1540000
Dongfeng,SK 580,1160000
Dongfeng,Shine Max,1540000
EXEED,LX,1854000
EXEED,LX New,2028000
EXEED,RX,2700000
EXEED,TXL,1920000
EXEED,TXL New,2220000
EXEED,TXL Restyling,2229900
EXEED,VX,2830000
EXEED,VX LE,5440000
EXEED,VX New,3630000
EXEED,VX Restyling,4349000
Evolute,i-JOY,2620000
Evolute,i-PRO,2170000
Evolute,i-SKY,3140000
FAW,Bestune B70,1328000
FAW,Bestune T55,1470000
