brand,model,min_price
Aito,M5,3520000
Aito,M7,6130000
BAIC,BJ40,3084000
BAIC,BJ40 Plus,3084000
BAIC,U5 Plus,1099900
BAIC,X35,1229100
BAIC,X55,1976000
BAIC,X7,2062000
BYD,Qin,1520000
Belgee,X50,635491
Belgee,X70,1840090
Brilliance,V3,429000
Brilliance,V5,599000
Brilliance,V5 New,694100
Changan,Alsvin,490100
Changan,CS35 Plus,637300
Changan,CS35 Plus New,979900
Changan,CS35 Plus Restyling,854000
Changan,CS55,867300
Changan,CS55 Plus,1283000
Changan,CS55 Plus New,1300000
Changan,CS75,1017300
Changan,CS75 Plus,2070000
Changan,CS75 Plus 2023,2100000
Changan,CS75 Plus New,1349000
Changan,CS75 Restyling,1444000
Changan,CS75FL,1107300
Changan,CS85,2398000
Changan,CS85 Coupe,2309900
Changan,CS95,1809000
Changan,CS95 New,3146000
Changan,CS95 Restyling,2989000
Changan,Eado Plus,980000
Changan,Hunter,2779900
Changan,Hunter Plus,2314000
Changan,Lamore,1639900
Changan,Raeton Plus,2135000
Changan,UNI-K,1689900
Changan,UNI-S,1500000
Changan,UNI-T,1342000
Changan,UNI-V,1450000
Chery,Arrizo 8,1364000
Chery,Explore 06,1511000
Chery,Explore 06 New,1990000
Chery,Tiggo 3,549900
Chery,Tiggo 3x New,1100000
Chery,Tiggo 4,561000
Chery,Tiggo 4 New,885000
Chery,Tiggo 4 Pro,630000
Chery,Tiggo 4 Pro New,1690000
Chery,Tiggo 5,630710
Chery,Tiggo 7,590900
Chery,Tiggo 7 Pro,709900
Chery,Tiggo 7 Pro Max,1036000
Chery,Tiggo 7 Pro Max New,1247000
Chery,Tiggo 7 Pro Plug-In-Hybrid,2568100
Chery,Tiggo 8,812600
Chery,Tiggo 8 New,1280000
Chery,Tiggo 8 Pro,1328000
Chery,Tiggo 8 Pro Max,1589000
Chery,Tiggo 8 Pro Max New,2189900
Chery,Tiggo 8 Pro Max Restyling,2745000
Chery,Tiggo 8 Pro Plug-In-Hybrid,2874100
Chery,Tiggo 8 Pro e+,2770000
Chery,Tiggo 8 Pro e+ Hybrid,2830100
Chery,Tiggo 9,1853000
Chevrolet,Captiva,1187000
Chevrolet,Captiva New,1581100
Chevrolet,Cobalt,332900
Chevrolet,Nexia,215900
Chevrolet,Niva,416000
Chevrolet,Spark,509000
Chevrolet,Tracker,1495000
Chevrolet,Trailblazer,1587000
Chevrolet,Traverse,2793000
Citroen,Berlingo Multispace,1070000
Citroen,C3 Aircross New,1765999
Citroen,C4,1016100
Citroen,C5 Aircross,1890000
Citroen,C5 Aircross New,1169100
Citroen,Jumpy,1713810
Citroen,Spacetourer,2140000
DFM,580,770000
DFM,AX7,809000
DWHover,H3,954100
DWHover,H5,964200
Datsun,MI-DO,394100
Datsun,ON-DO,371000
Dongfeng,580,769000
Dongfeng,580 New,1424000
Dongfeng,AX7,675000
Dongfeng,DF6,1811100
Dongfeng,DFSK IX5,2340000
Dongfeng,DFSK IX7,2689000
Dongfeng,SK 580,809000
Dongfeng,Shine Max,1405000
EXEED,LX,1690000
EXEED,LX AWD,1690000
EXEED,LX New,2570100
EXEED,RX,1478900
EXEED,TXL,1490000
EXEED,TXL New,1540000
EXEED,TXL New 2024,2990100
EXEED,TXL Restyling,2081000
EXEED,VX,2490000
EXEED,VX LE,4746900
EXEED,VX New,4190000
EXEED,VX Restyling,3981000
Evolute,i-JET,5980000
Evolute,i-JOY,2641100
Evolute,i-PRO,2191000
Evolute,i-SKY,4078000
FAW,Bestune B70,1262000
FAW,Bestune T55,1189000
FAW,Bestune T77,1269000
FAW,Bestune T99,1689900
FAW,Besturn X40,608000
FAW,Besturn X80,624000
FAW,Besturn X80 New,1208100
FAW,X40,585000
FAW,X40 New,585000
FAW,X80,624000
Ford,Ecosport,774300
Ford,Ecosport New,774500
Ford,Explorer,2478900
Ford,Fiesta Hatchback,530500
Ford,Fiesta Sedan,622130
Ford,Focus Hatchback,681880
Ford,Focus Sedan,681700
Ford,Focus Universal,787280
Ford,Kuga,1245910
Ford,Mondeo,1280480
Forthing,T5 Evo,1976000
Forthing,Yacht,2936000
Foton,Sauvana,860000
Foton,Tunland,1273000
Gac,Emkoo,1860100
Gac,Emkoo Trumpchi,1992000
Gac,GN8,2034000
Gac,GS3,1725000
Gac,GS3 Trumpchi,1330000
Gac,GS5,1125900
Gac,GS8,1524000
Gac,GS8 II,2024000
Gac,GS8 New,2024000
Gac,M8,4250099
Geely,Atlas,656000
Geely,Atlas New,1860000
Geely,Atlas Pro,751000
Geely,Belgee X50,805900
Geely,Belgee X70,1839990
Geely,Boyue,1794000
Geely,Coolray,735491
Geely,Coolray New,1050000
Geely,Coolray Restyling,1059000
Geely,Emgrand,1040000
Geely,Emgrand 7,779989
Geely,Emgrand 7 2023,1350000
Geely,Emgrand GT,1387999
Geely,Emgrand New,980900
Geely,Emgrand X7,719990
Geely,GS,665000
Geely,Monjaro,2374000
Geely,Monjaro (KX11),2990000
Geely,Okavango,1761000
Geely,Okavango New,1749000
Geely,Preface,1670100
Geely,Tugella,1533994
Geely,Tugella New,1744990
Geely,Tugella Restyling,1853000
Great Wall,Hover H3,715010
Great Wall,Hover H5,797000
Great Wall,Hover H6,786110
Great Wall,Hover M2,429400
Great Wall,POER,1867200
Great Wall,POER King Kong,1719100
Great Wall,Wingle 5,617000
Great Wall,Wingle 7,1399100
Haima,7,460100
Haima,7X,2945000
Haima,8S,1995000
Haima,M3,479100
Haval,Dargo,1389000
Haval,Dargo X,1890000
Haval,F7,869000
Haval,F7 New,1219000
Haval,F7 Restyling,1019000
Haval,F7x,849000
Haval,F7x New,1249000
Haval,F7x Restyling,1049000
Haval,GWM POER,1867400
Haval,GWM POER King Kong,1719300
Haval,GWM Wingle 7,1399100
Haval,H3,1839100
Haval,H5,643600
Haval,H5 New,2969000
Haval,H6,602200
Haval,H6 New,1290000
Haval,H9,1479000
Haval,Jolion,749000
Haval,Jolion New,849000
Haval,Jolion Restyling,941000
Haval,M6,840000
Hawtai,Boliger,608000
Hawtai,Laville,645000
Honda,CR-V New,1762910
Honda,Pilot,2639910
Hyundai,Bayon,1540000
Hyundai,Celesta,700000
Hyundai,Creta,446899
Hyundai,Creta New,704000
Hyundai,Elantra,1029900
Hyundai,Elantra New,836300
Hyundai,H-1,1986000
Hyundai,Mufasa,1399000
Hyundai,Palisade,3299000
Hyundai,Palisade New,3872000
Hyundai,Santa Fe,2229000
Hyundai,Santa Fe New,1587000
Hyundai,Santa Fe Restyling,1884000
Hyundai,Solaris,500300
Hyundai,Solaris New,497300
Hyundai,Sonata,1130200
Hyundai,Sonata New,1127200
Hyundai,Staria,2599000
Hyundai,Tucson,1029900
Hyundai,Tucson 2021 New,1498100
Hyundai,Tucson New,1319000
Hyundai,i30 N,1710000
Hyundai,ix35 New,2025200
JAC,J7,541000
JAC,JS3,791000
JAC,JS4,1194000
JAC,JS6,1568000
JAC,S3,549000
JAC,S5,551960
JAC,S7,905900
JAC,T6,878000
JAC,T8,1784200
JAC,T8 Pro,1840200
JAC,T9,2459200
JAC,iEV7S,2046000
JAECOO,J7,1939900
JAECOO,J8,2925000
Jetour,Dashing,1139900
Jetour,T2,2531000
Jetour,X70,1531200
Jetour,X70 Plus,1531200
Jetour,X90 Plus,1999900
Jetta,VA3,656000
Jetta,VS5,941000
Jetta,VS7,1092000
KAIYI,E5,1017000
KAIYI,X3,1317900
KAIYI,X3 Pro,1350000
KAIYI,X7 Kunlun,2184000
KIA,Carnival,1989000
KIA,Ceed,566047
KIA,Ceed New,957300
KIA,Ceed SW,597393
KIA,Ceed SW New,977300
KIA,Ceed SW Universal,687000
KIA,Cerato,824900
KIA,Cerato New,723942
KIA,Cerato Restyling,808000
KIA,K5,1067300
KIA,K5 New,1417900
KIA,K9,5914000
KIA,K900,4025000
KIA,Mohave,2860700
KIA,Mohave New,2374928
KIA,Picanto,569900
KIA,Picanto New,438900
KIA,ProCeed,1204900
KIA,Rio,854000
KIA,Rio New,507300
KIA,Rio X,543900
KIA,Rio X New,852100
KIA,Rio X-Line,557000
KIA,Seltos,702300
KIA,Seltos New,1041000
KIA,Seltos Rest,1659200
KIA,Sorento,1540000
KIA,Sorento New,1519000
KIA,Soul,571200
KIA,Soul New,568200
KIA,Sportage,977300
KIA,Sportage 5,1349900
KIA,Sportage New,955175
KIA,Sportage New 2022,1865000
KIA,Stinger,2159900
KIA,Stinger New,2156900
KIA,Stinger Restyling,2337000
KIA,XCeed,1305000
KIA,XCeed New,1518000
Lada,4x4 3 двери,408000
Lada,4x4 5 дверей,418000
Lada,4x4 Bronto,473300
Lada,Granta Cross,288800
Lada,Granta Drive Active,377900
Lada,Granta Drive Active Liftback,647000
Lada,Granta Hatchback,372500
Lada,Granta Hatchback New,395000
Lada,Granta Liftback,293300
Lada,Granta Liftback New,340700
Lada,Granta Sedan,280400
Lada,Granta Sedan Drive Active,491000
Lada,Granta Sedan New,280400
Lada,Granta Sport Liftback New,683000
Lada,Granta Sport Sedan New,925100
Lada,Granta Universal,300300
Lada,Granta Universal New,299100
Lada,Largus,448300
Lada,Largus Cross,552300
Lada,Largus Cross New,620000
Lada,Largus Cross New 7 мест,715300
Lada,Largus New,451300
Lada,Largus New 7 мест,478300
Lada,Largus Фургон,452300
Lada,Largus Фургон New,452300
Lada,Niva,537900
Lada,Niva Legend 3 двери,347300
Lada,Niva Legend 5 дверей,368300
Lada,Niva Legend Bronto,649000
Lada,Niva Legend Urban 3 двери,413300
Lada,Niva Legend Urban 5 дверей,447300
Lada,Niva Off-Road,467300
Lada,Niva Travel,434900
Lada,Niva Urban New 3 двери,448100
Lada,Niva Urban New 5 дверей,491000
Lada,Vesta Cross,517300
Lada,Vesta Cross New,1050000
